,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation
WNT5A_FZD1,wnt5a - fzd1,ncWNT,wnt5a,fzd1,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD10,wnt5a - fzd10,ncWNT,wnt5a,fzd10,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD2,wnt5a - fzd2,ncWNT,wnt5a,fzd2,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD3_1,wnt5a - fzd3b,ncWNT,wnt5a,fzd3b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD3_2,wnt5a - fzd3a,ncWNT,wnt5a,fzd3a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD4,wnt5a - fzd4,ncWNT,wnt5a,fzd4,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD5,wnt5a - fzd5,ncWNT,wnt5a,fzd5,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD6,wnt5a - fzd6,ncWNT,wnt5a,fzd6,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD7_1,wnt5a - fzd7b,ncWNT,wnt5a,fzd7b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD7_2,wnt5a - fzd7a,ncWNT,wnt5a,fzd7a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD8_1,wnt5a - fzd8a,ncWNT,wnt5a,fzd8a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD8_2,wnt5a - fzd8b,ncWNT,wnt5a,fzd8b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD9_1,wnt5a - fzd9b,ncWNT,wnt5a,fzd9b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_FZD9_2,wnt5a - fzd9a,ncWNT,wnt5a,fzd9a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5A_MCAM_1,wnt5a - mcamb,ncWNT,wnt5a,mcamb,,,,,PMID: 24335906,Secreted Signaling
WNT5A_MCAM_2,wnt5a - mcama,ncWNT,wnt5a,mcama,,,,,PMID: 24335906,Secreted Signaling
WNT5B_FZD1,wnt5b - fzd1,ncWNT,wnt5b,fzd1,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD10,wnt5b - fzd10,ncWNT,wnt5b,fzd10,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD2,wnt5b - fzd2,ncWNT,wnt5b,fzd2,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD3_1,wnt5b - fzd3b,ncWNT,wnt5b,fzd3b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD3_2,wnt5b - fzd3a,ncWNT,wnt5b,fzd3a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD4,wnt5b - fzd4,ncWNT,wnt5b,fzd4,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD5,wnt5b - fzd5,ncWNT,wnt5b,fzd5,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD6,wnt5b - fzd6,ncWNT,wnt5b,fzd6,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD7_1,wnt5b - fzd7b,ncWNT,wnt5b,fzd7b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
